Frame,Time (s),Red,Green,Blue,Greyscale
195,0.39,16.0546236,10.40009785,4.666460037,11.43310547
196,0.392,16.0798769,10.39640331,4.639969826,11.43550014
197,0.394,16.09139919,10.3857069,4.618526459,11.42999649
198,0.396,16.12451935,10.38623905,4.628591537,11.44146061
199,0.398,16.13079929,10.3801651,4.636137962,11.44065857
200,0.4,16.1551981,10.36544895,4.645256996,11.44048786
201,0.402,16.1697588,10.35816669,4.653713226,11.44143295
202,0.404,16.17508602,10.35387039,4.675863266,11.44293213
203,0.406,16.17745876,10.3487196,4.690274239,11.44235134
204,0.408,16.16711044,10.33683395,4.679139137,11.43037891
205,0.41,16.17213249,10.34471893,4.684663773,11.4373045
206,0.412,16.18211365,10.33400536,4.668441772,11.43214989
207,0.414,16.19177246,10.33433056,4.674402237,11.43593788
208,0.416,16.20346451,10.33602524,4.67442131,11.44037342
209,0.418,16.18803692,10.32795906,4.664978981,11.42997456
210,0.42,16.21086407,10.32605934,4.660764694,11.43535233
211,0.422,16.19621086,10.31215096,4.630298615,11.41952419
212,0.424,16.2160368,10.31132126,4.615637779,11.42336464
213,0.426,16.20583057,10.29670906,4.585695267,11.40841961
214,0.428,16.22453403,10.27070808,4.567192078,11.3966074
215,0.43,16.24664402,10.26995373,4.539693832,11.39979172
216,0.432,16.26059628,10.27118587,4.518216133,11.40206146
217,0.434,16.26470375,10.26471901,4.492808342,11.39656258
218,0.436,16.26529217,10.22842598,4.448046684,11.36999416
219,0.438,16.23422813,10.19249439,4.459955215,11.34115505
220,0.44,16.17986202,10.13978291,4.447224617,11.29252625
221,0.442,16.08336544,10.08576775,4.442603111,11.23196507
222,0.444,16.00831223,10.04319382,4.442767143,11.18431377
223,0.446,15.94854164,10.01590443,4.44622612,11.15084171
224,0.448,15.90697193,10.00212765,4.459711075,11.13156605
225,0.45,15.86330128,9.978653908,4.44493866,11.10270882
226,0.452,15.82990742,9.983429909,4.463244438,11.09797955
227,0.454,15.79128838,9.988801003,4.465610504,11.08981895
228,0.456,15.75833797,9.986552238,4.462896347,11.07842827
229,0.458,15.72366238,9.986065865,4.452179909,11.06644058
230,0.46,15.70166111,9.975263596,4.436515808,11.05200863
231,0.462,15.68475056,9.961048126,4.427361488,11.0374136
232,0.464,15.65698147,9.929184914,4.402695656,11.00712681
233,0.466,15.6293993,9.914879799,4.419879913,10.99268627
